Arquivo,Linha,Coluna,Padrão,Match,Severidade,Crítico,Descrição,Sugestão
src/components/landing/FAQSection.tsx,97,25,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/landing/FAQSection.tsx,124,53,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/landing/ScreenshotCarousel.tsx,71,41,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/landing/StatsSection.tsx,70,39,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/landing/StatsSection.tsx,89,131,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/landing/ThemeComparison.tsx,26,35,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/landing/ThemeComparison.tsx,57,35,text-muted,text-muted-foreground,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/GlobalSidebar.tsx,393,37,text-gray-600,text-gray-600,ALTA,Sim,Cinza 600 (#4b5563) tem baixo contraste em fundo escuro,Usar text-gray-400 ou mais claro em temas escuros
src/components/navigation/Header.tsx,148,71,text-gray-600,text-gray-600,ALTA,Sim,Cinza 600 (#4b5563) tem baixo contraste em fundo escuro,Usar text-gray-400 ou mais claro em temas escuros
src/components/navigation/Header.tsx,269,51,text-gray-600,text-gray-600,ALTA,Sim,Cinza 600 (#4b5563) tem baixo contraste em fundo escuro,Usar text-gray-400 ou mais claro em temas escuros
src/components/navigation/HeaderV2.tsx,165,64,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/HeaderV2.tsx,179,30,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/HeaderV2.tsx,179,18,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/navigation/HeaderV2.tsx,195,28,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/HeaderV2.tsx,195,16,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/navigation/HeaderV2.tsx,241,24,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/HeaderV2.tsx,241,12,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/navigation/HeaderV2.tsx,281,57,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/HeaderV2.tsx,281,45,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/navigation/HeaderV2.tsx,284,57,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/HeaderV2.tsx,284,45,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/navigation/HeaderV2.tsx,364,49,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/HeaderV2.tsx,364,37,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/navigation/HeaderV2.tsx,451,26,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/HeaderV2.tsx,451,14,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/navigation/HeaderV2.tsx,495,83,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/HeaderV2.tsx,495,71,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/navigation/HeaderV2.tsx,503,38,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/HeaderV2.tsx,503,26,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
src/components/navigation/HeaderV2.tsx,548,26,text-muted,text-muted,ALTA,Sim,Classe text-muted pode ter baixo contraste,Verificar se --muted-foreground tem ratio >= 4.5:1
src/components/navigation/HeaderV2.tsx,548,14,text-muted-var,text-[var(--text-muted)],ALTA,Sim,Variável CSS --text-muted pode ter baixo contraste,Verificar valor de --text-muted no tema
